Id,place_city,place_country,place_state
563,Banglore,India,Karnataka
564,Mumbai,India,Maharashtra
565,Mohali,India,Punjab
566,Banglore,India,Karnataka
567,Pune,India,Maharashtra
568,Delhi,India,Delhi
569,Mumbai,India,Maharashtra
570,Chepauk,India,Tamil Nadu
571,Kolkata,India,West Bengal
572,Jaipur,India,Rajasthan
573,Chepauk,India,Tamil Nadu
574,Mohali,India,Punjab
575,Banglore,India,Karnataka
576,Pune,India,Maharashtra
577,Jaipur,India,Rajasthan
578,Delhi,India,Delhi
579,Hyderabad,India,Telengana
580,Kolkata,India,West Bengal
581,Banglore,India,Karnataka
582,Delhi,India,Delhi
583,Mohali,India,Punjab
584,Chepauk,India,Tamil Nadu
585,Banglore,India,Karnataka
586,Delhi,India,Delhi
587,Kolkata,India,West Bengal
588,Chepauk,India,Tamil Nadu
589,Kolkata,India,West Bengal
590,Jaipur,India,Rajasthan
591,Mumbai,India,Maharashtra
592,Chepauk,India,Tamil Nadu
593,Raipur,India,Chhattisgarh
594,Jaipur,India,Rajasthan
595,Mumbai,India,Maharashtra
596,Pune,India,Maharashtra
597,Hyderabad,India,Telengana
598,Raipur,India,Chhattisgarh
599,Chepauk,India,Tamil Nadu
600,Pune,India,Maharashtra
601,Kolkata,India,West Bengal
602,Hyderabad,India,Telengana
603,Mumbai,India,Maharashtra
604,Jaipur,India,Rajasthan
605,Mohali,India,Punjab
606,Jaipur,India,Rajasthan
607,Mumbai,India,Maharashtra
608,Hyderabad,India,Telengana
609,Mohali,India,Punjab
610,Pune,India,Maharashtra
611,Delhi,India,Delhi
612,Pune,India,Maharashtra
613,Mohali,India,Punjab
614,Ranchi,India,Jharkhand
615,Jaipur,India,Rajasthan
616,Mumbai,India,Maharashtra
617,Banglore,India,Karnataka
618,Chepauk,India,Tamil Nadu
619,Ranchi,India,Jharkhand
620,Mumbai,India,Maharashtra
621,Dharamshala,India,Maharashtra
622,Hyderabad,India,Telengana
623,Dharamshala,India,Himachal Pradesh
624,Banglore,India,Karnataka
625,Pune,India,Maharashtra
626,Hyderabad,India,Telengana
627,Delhi,India,Delhi
